model_a,model_b,auc_a,auc_b,z_stat,p_value,significant_005
calibrated_gradient_boosting,catboost,0.859083934435633,0.8402358519878202,4.498948922044161,6.829026146780229e-06,True
calibrated_gradient_boosting,gradient_boosting,0.859083934435633,0.8165311497664903,6.501875693551935,7.932463836632385e-11,True
calibrated_gradient_boosting,lightgbm,0.859083934435633,0.8343060913293086,5.2417820879094,1.590331183216404e-07,True
calibrated_gradient_boosting,logistic_l2,0.859083934435633,0.8304389600332698,4.042942955325749,5.278446609889864e-05,True
calibrated_gradient_boosting,mlp_notebook_baseline,0.859083934435633,0.8229484844573827,3.9476574330328322,7.891962033410947e-05,True
calibrated_gradient_boosting,random_forest,0.859083934435633,0.8432927499653441,4.079335156836415,4.51646826155809e-05,True
calibrated_gradient_boosting,stacking_ensemble,0.859083934435633,0.8215335637359644,5.81294668694172,6.138261495358354e-09,True
calibrated_gradient_boosting,svm_rbf,0.859083934435633,0.8350039914148729,2.508076949742741,0.012139022874246177,True
calibrated_gradient_boosting,xgboost,0.859083934435633,0.8025707579864148,7.583847348289911,3.354558177990112e-14,True
catboost,gradient_boosting,0.8402358519878202,0.8165311497664903,3.7642595938262517,0.00016704328425169525,True
catboost,lightgbm,0.8402358519878202,0.8343060913293086,1.3149938484663188,0.1885119698965343,False
catboost,logistic_l2,0.8402358519878202,0.8304389600332698,1.2926596872591978,0.1961287861922063,False
catboost,mlp_notebook_baseline,0.8402358519878202,0.8229484844573827,1.7847246894231081,0.07430598418131205,False
catboost,random_forest,0.8402358519878202,0.8432927499653441,-0.687833052943687,0.49155791905627066,False
catboost,stacking_ensemble,0.8402358519878202,0.8215335637359644,2.9622199764943087,0.0030542948797259595,True
catboost,svm_rbf,0.8402358519878202,0.8350039914148729,0.5238193923820286,0.600404164047193,False
catboost,xgboost,0.8402358519878202,0.8025707579864148,5.173442276125528,2.2982014470846984e-07,True
gradient_boosting,lightgbm,0.8165311497664903,0.8343060913293086,-2.3323997573411317,0.01967967086730058,True
gradient_boosting,logistic_l2,0.8165311497664903,0.8304389600332698,-1.4096278013426098,0.1586496134534875,False
gradient_boosting,mlp_notebook_baseline,0.8165311497664903,0.8229484844573827,-0.5252590363576188,0.5994031297778065,False
gradient_boosting,random_forest,0.8165311497664903,0.8432927499653441,-4.017941165372372,5.870885030169968e-05,True
gradient_boosting,stacking_ensemble,0.8165311497664903,0.8215335637359644,-0.5471551890908849,0.5842721190630855,False
gradient_boosting,svm_rbf,0.8165311497664903,0.8350039914148729,-1.4930195884113244,0.1354320594553072,False
gradient_boosting,xgboost,0.8165311497664903,0.8025707579864148,1.6949919780057985,0.09007694257619753,False
lightgbm,logistic_l2,0.8343060913293086,0.8304389600332698,0.47354346865105923,0.6358254963335063,False
lightgbm,mlp_notebook_baseline,0.8343060913293086,0.8229484844573827,1.1980747106358345,0.2308879330953697,False
lightgbm,random_forest,0.8343060913293086,0.8432927499653441,-2.2834684431049035,0.022402789650983437,True
lightgbm,stacking_ensemble,0.8343060913293086,0.8215335637359644,1.8117667555302637,0.07002224391671551,False
lightgbm,svm_rbf,0.8343060913293086,0.8350039914148729,-0.07081796556351985,0.9435426332714206,False
lightgbm,xgboost,0.8343060913293086,0.8025707579864148,4.401179083323647,1.0766421635795546e-05,True
logistic_l2,mlp_notebook_baseline,0.8304389600332698,0.8229484844573827,0.8198735031466007,0.4122882233164865,False
logistic_l2,random_forest,0.8304389600332698,0.8432927499653441,-1.6354720551665025,0.10195012815226753,False
logistic_l2,stacking_ensemble,0.8304389600332698,0.8215335637359644,1.1094372693610357,0.2672415920398772,False
logistic_l2,svm_rbf,0.8304389600332698,0.8350039914148729,-0.4441197165388571,0.656956032305517,False
logistic_l2,xgboost,0.8304389600332698,0.8025707579864148,2.724414615209775,0.006441558398849607,True
mlp_notebook_baseline,random_forest,0.8229484844573827,0.8432927499653441,-2.249423767655583,0.024485547858932723,True
mlp_notebook_baseline,stacking_ensemble,0.8229484844573827,0.8215335637359644,0.1384290860893094,0.8899013109234408,False
mlp_notebook_baseline,svm_rbf,0.8229484844573827,0.8350039914148729,-1.579179905525216,0.11429479769208148,False
mlp_notebook_baseline,xgboost,0.8229484844573827,0.8025707579864148,1.5729322325494715,0.11573451065872609,False
random_forest,stacking_ensemble,0.8432927499653441,0.8215335637359644,3.2721503869478097,0.0010673278650458955,True
random_forest,svm_rbf,0.8432927499653441,0.8350039914148729,0.8832220800717757,0.3771162940275463,False
random_forest,xgboost,0.8432927499653441,0.8025707579864148,5.462297744757153,4.700108909175114e-08,True
stacking_ensemble,svm_rbf,0.8215335637359644,0.8350039914148729,-1.2687183260005712,0.20454154390838597,False
stacking_ensemble,xgboost,0.8215335637359644,0.8025707579864148,2.4137663351976024,0.015788584047485878,True
svm_rbf,xgboost,0.8350039914148729,0.8025707579864148,2.4423215389816773,0.014593142678258293,True
