auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision_ppv,npv,f1,mcc,brier,calibration_intercept,calibration_slope,tn,fp,fn,tp,threshold,n,prevalence,model,fold,dataset_version
0.9628571428571429,0.9601323396924382,0.8780487804878049,0.8783333333333334,0.8666666666666667,0.89,0.8921568627450981,0.8640776699029126,0.8792270531400966,0.7564505687994391,0.0785884173748414,0.07845062821001145,1.2649276114950858,89.0,11.0,14.0,91.0,0.5,205.0,0.5121951219512195,calibrated_gradient_boosting,1,heart_csv_original_with_duplicates
0.9641904761904763,0.96701018009882,0.8731707317073171,0.8726190476190476,0.8952380952380953,0.85,0.8623853211009175,0.8854166666666666,0.8785046728971962,0.7465189408040332,0.07880638034688493,0.02137155165420302,1.5078798220169014,85.0,15.0,11.0,94.0,0.5,205.0,0.5121951219512195,calibrated_gradient_boosting,2,heart_csv_original_with_duplicates
0.9519047619047619,0.9595884873696107,0.8682926829268293,0.8685714285714285,0.8571428571428571,0.88,0.8823529411764706,0.8543689320388349,0.8695652173913043,0.7369323351173893,0.08802284174925991,0.18315546143146158,1.0565448046688077,88.0,12.0,15.0,90.0,0.5,205.0,0.5121951219512195,calibrated_gradient_boosting,3,heart_csv_original_with_duplicates
0.9498095238095238,0.9478650334786471,0.8829268292682927,0.8816666666666666,0.9333333333333333,0.83,0.8521739130434782,0.9222222222222223,0.8909090909090909,0.768844836916278,0.08762517333464312,-0.19649607059035068,1.3607872921744804,83.0,17.0,7.0,98.0,0.5,205.0,0.5121951219512195,calibrated_gradient_boosting,4,heart_csv_original_with_duplicates
0.9452067848294263,0.9428134743168254,0.848780487804878,0.8471031065370689,0.8962264150943396,0.797979797979798,0.8260869565217391,0.8777777777777778,0.8597285067873304,0.6990187921039761,0.09698700039398928,-0.11880024886789979,1.0008139874999835,79.0,20.0,11.0,95.0,0.5,205.0,0.5170731707317073,calibrated_gradient_boosting,5,heart_csv_original_with_duplicates
0.8647186147186148,0.9019712757495101,0.7868852459016393,0.7922077922077921,0.7272727272727273,0.8571428571428571,0.8571428571428571,0.7272727272727273,0.7868852459016393,0.5844155844155844,0.1569934653252132,0.636948275851792,1.0365490439465834,24.0,4.0,9.0,24.0,0.5,61.0,0.5409836065573771,calibrated_gradient_boosting,1,heart_csv_deduplicated
0.9285714285714285,0.9379669462427106,0.8524590163934426,0.8419913419913421,0.9696969696969697,0.7142857142857143,0.8,0.9523809523809523,0.8767123287671232,0.7173670909562075,0.11724737550983484,-0.8418717294214428,1.777745490443769,20.0,8.0,1.0,32.0,0.5,61.0,0.5409836065573771,calibrated_gradient_boosting,2,heart_csv_deduplicated
0.8939732142857142,0.9048520291570146,0.7833333333333333,0.7834821428571428,0.78125,0.7857142857142857,0.8064516129032258,0.7586206896551724,0.7936507936507936,0.5660175036135799,0.135761229867199,0.24080192846417037,1.2633853249609477,22.0,6.0,7.0,25.0,0.5,60.0,0.5333333333333333,calibrated_gradient_boosting,3,heart_csv_deduplicated
0.9079685746352414,0.8758113914704688,0.8833333333333333,0.8804713804713804,0.9090909090909091,0.8518518518518519,0.8823529411764706,0.8846153846153846,0.8955223880597015,0.7639496026464712,0.10569095975191398,0.019599407093325725,1.2210399602166824,23.0,4.0,3.0,30.0,0.5,60.0,0.55,calibrated_gradient_boosting,4,heart_csv_deduplicated
0.9214365881032548,0.9401012208373478,0.85,0.8468013468013468,0.8787878787878788,0.8148148148148148,0.8529411764705882,0.8461538461538461,0.8656716417910447,0.6963434431202348,0.1151147554983376,0.175046317931326,1.4460342335359346,22.0,5.0,4.0,29.0,0.5,60.0,0.55,calibrated_gradient_boosting,5,heart_csv_deduplicated
