model,auroc_mean,auroc_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_ppv_mean,precision_ppv_std,npv_mean,npv_std,f1_mean,f1_std,mcc_mean,mcc_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
calibrated_gradient_boosting,0.8078585394242969,0.0870046777627034,0.8823149942444202,0.06007260661144213,0.7806217715895499,0.03828345451854209,0.7439211296029068,0.07422946530866176,0.8046760381719456,0.011920803236147361,0.683166221033868,0.14460506391370317,0.818381993296218,0.10831687999886845,0.5902335210317066,0.3330508884597808,0.8084319028288541,0.04667792663099847,0.4390428181028695,0.192417129744791,0.1545330532299953,0.02156907352873202,0.560356633396407,1.3038832634578141,1.0569060663707042,0.37075673945403176
catboost,0.7921633099069433,0.0887559793014923,0.8705756605588265,0.06736908252957306,0.7436906983808477,0.06597266903268445,0.7191745818371731,0.0738096974536246,0.7159672563659683,0.027403656184847334,0.7223819073083779,0.13927162342144644,0.8293657252653894,0.09902175434759608,0.5380601807164307,0.32888357017683745,0.7668899449970954,0.05025990763010242,0.3932075672129604,0.20231598049431293,0.17576755513421688,0.025066556436315494,0.8285866888478775,1.274109259209943,1.5030044429039298,0.6658487810819133
gradient_boosting,0.7937330191403044,0.08093455645382802,0.8638066708692378,0.06943348896517823,0.7306218035359355,0.05280956819490372,0.7350116813810565,0.052094868484560394,0.7363558048298493,0.0545785253277319,0.7336675579322638,0.06009749464637037,0.8070029315077356,0.13443225254397193,0.5576198373480578,0.34019349198291043,0.7620753752881122,0.03358415915362256,0.4041929701524108,0.1644131075439651,0.1852091579909762,0.011041678359762356,0.7296471061427878,1.3639550161871397,1.8578621250487,0.9054525704813072
lightgbm,0.7715261054870215,0.10581839654021145,0.8626316959925747,0.07194452942571058,0.7411976517398549,0.07274892817237086,0.6985744427878838,0.09845234751806005,0.7118102046488515,0.027320405175769665,0.6853386809269162,0.19908808740814013,0.8301513432681895,0.08537987412206206,0.525404680747239,0.34167242129909026,0.7653786880035709,0.04573733935903552,0.37016315215368784,0.23985969498923426,0.1815355108184398,0.024211424281542028,0.8014409481281858,1.2346043198535284,1.548658580080099,0.7720635470487308
logistic_l2,0.7798049982934756,0.08891189626125269,0.8711588696345205,0.06513376678081367,0.7486458593468187,0.07406995793957317,0.7343430257338808,0.07512039675594337,0.7122912208082249,0.06144050531102553,0.7563948306595365,0.16398662726434993,0.8493216383995241,0.08449986768958417,0.5490685111754322,0.3327924247493665,0.7715035108037337,0.03779297650167117,0.4208368655889803,0.21112666196157046,0.179631649536351,0.03775792404675174,0.8546309902873558,1.2677301841074442,0.940671994855528,0.52628672520415
mlp_notebook_baseline,0.7542387358475175,0.13010985913152423,0.8550195730206205,0.05292457304217518,0.7342578434765846,0.06936808361142782,0.7035035491065136,0.09091450906877482,0.7293333014215833,0.07498410928684622,0.6776737967914439,0.1661926128891833,0.8206073001600442,0.10819831845933756,0.5464196113449844,0.35765892570307306,0.7653204247731311,0.02790805487558495,0.3810700579614375,0.23036193769195124,0.1844409865129859,0.040291211624939476,0.6813679254387557,1.4052922232280813,0.5556560127507458,0.2909325349440811
random_forest,0.8029484705625015,0.08895362198578508,0.8750510074022722,0.06677530585563206,0.7524436100657037,0.0678503371390398,0.7285684188630641,0.09284873927297999,0.760155999936467,0.053656723943270625,0.6969808377896614,0.14490674163709738,0.8214339446599852,0.10148513570280043,0.5577390081313269,0.35156843689568845,0.785185932120521,0.032951245039740604,0.40867368722570996,0.2285778588854439,0.16837908236113042,0.027617744641592768,0.6658059673654984,1.3267301068370627,1.3215190928109355,0.5351921115523953
stacking_ensemble,0.7864668804801047,0.09583841647417972,0.862561069330885,0.07270898459856275,0.7485055453448822,0.04183786704627671,0.7360143001531156,0.073767625585009,0.7999474951368909,0.07156768672194604,0.6720811051693405,0.14767212853909412,0.7939829641263775,0.13601229111692575,0.587085623912625,0.3496929051799462,0.7872076755522892,0.03436362112885114,0.41376841271917825,0.1830852096373246,0.17638666227212343,0.023862385866599802,0.4338724090211509,1.6136445931989298,1.024300516694387,0.37603833328394226
svm_rbf,0.8131251074464092,0.08065394580785513,0.8832403971774755,0.06905675088011502,0.7696773935327372,0.13184651283260154,0.6783620524142802,0.08567213521829005,0.8834397911030701,0.10428190739707555,0.4732843137254902,0.24370305091778455,0.7559899993055074,0.16844562943935285,0.6839645766704834,0.24971363120746537,0.8048731451826437,0.11451501643946119,0.391665109836043,0.1434980929673588,0.1615860481633335,0.05303197747089397,-0.23505078181161992,1.4599919261872878,1.5438676672332514,0.6117875311706988
xgboost,0.791610741652875,0.085307466592936,0.8710434452685116,0.06948794939454332,0.728392070870592,0.048563604889479396,0.6941513640222094,0.05868379170146598,0.8186837440871997,0.11266288661896538,0.5696189839572192,0.20124575343626322,0.7600512637803147,0.18578136475759532,0.5948221556082502,0.3380799507533217,0.7700001182907892,0.08929581658300662,0.36097271630766037,0.1446101956500892,0.18377916477433442,0.015540034419519353,0.25074473745528064,1.816424798490341,1.6332068081619924,0.7497436745090457
